                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.561,                 2.6076,                 1.4907,                0.54669,                 0.4774,                0.48598,                0.27366,                 1.3992,                 1.6233,                 1.4049,               0.070199,              0.0033113,              0.0033113
                      1,                  1.436,                 1.5977,                 1.3737,                0.53336,                0.52504,                0.51405,                0.29775,                 1.4727,                 1.4571,                 1.4462,               0.040034,              0.0064801,              0.0064801
                      2,                 1.5271,                 1.6047,                 1.3921,                0.36688,                0.32263,                0.28592,                0.14944,                 1.8014,                 2.1478,                 1.6714,              0.0097048,               0.009484,               0.009484
                      3,                 1.6413,                 1.7906,                 1.4779,                0.31529,                 0.3338,                0.27262,                0.13933,                 1.8247,                 2.1116,                 1.7571,              0.0092575,              0.0092575,              0.0092575
                      4,                 1.6691,                 1.7549,                 1.4918,                0.41871,                0.36768,                0.33129,                0.17491,                 1.7503,                 2.0891,                 1.6733,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.6663,                 1.7325,                 1.5078,                0.39894,                0.40904,                0.37496,                0.20263,                  1.656,                 1.8266,                 1.5926,                0.00901,                0.00901,                0.00901
                      6,                 1.6256,                 1.6793,                 1.4861,                0.42198,                0.47002,                0.44428,                 0.2392,                 1.6816,                 1.7209,                 1.6475,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.6036,                 1.6188,                 1.4947,                0.54213,                0.50359,                0.48929,                0.26564,                 1.5471,                 1.5748,                 1.5351,               0.008515,               0.008515,               0.008515
                      8,                 1.5691,                  1.548,                 1.4684,                  0.569,                0.47486,                0.47149,                 0.2644,                 1.5994,                 1.6412,                 1.5597,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.6055,                 1.6094,                 1.4708,                0.55506,                0.48284,                0.48821,                0.27917,                  1.519,                 1.4451,                 1.5035,                0.00802,                0.00802,                0.00802
                     10,                 1.5543,                 1.5068,                 1.4465,                 0.5917,                0.52766,                0.55263,                  0.328,                 1.4776,                 1.4272,                 1.4729,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.5348,                 1.4403,                 1.4214,                0.59889,                0.54964,                0.58537,                0.34533,                 1.4515,                 1.4034,                 1.4374,               0.007525,               0.007525,               0.007525
                     12,                  1.528,                  1.438,                 1.4078,                0.57911,                0.52178,                0.53646,                0.31773,                 1.4654,                 1.4306,                 1.4517,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.4882,                 1.4102,                 1.3977,                0.66565,                0.57227,                0.61896,                0.37391,                 1.4026,                 1.2785,                 1.4031,                0.00703,                0.00703,                0.00703
                     14,                 1.4817,                 1.3843,                 1.3963,                0.62738,                0.55308,                0.58794,                0.35604,                 1.3923,                 1.2948,                 1.4277,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.4666,                 1.3697,                 1.3751,                0.67188,                0.55514,                0.58484,                0.35585,                 1.4279,                 1.2958,                 1.4385,               0.006535,               0.006535,               0.006535
                     16,                 1.4431,                 1.3166,                 1.3715,                0.72761,                0.60989,                0.68592,                0.41673,                 1.3471,                 1.1375,                 1.3838,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.4084,                 1.2658,                 1.3542,                0.71939,                0.62448,                0.69088,                0.42938,                 1.3363,                 1.1303,                 1.3667,                0.00604,                0.00604,                0.00604
                     18,                 1.3964,                 1.2573,                 1.3505,                0.70303,                0.63684,                0.68692,                0.42528,                  1.311,                 1.0958,                 1.3489,              0.0057925,              0.0057925,              0.0057925
                     19,                 1.3938,                 1.2543,                 1.3602,                0.72923,                0.60247,                0.67615,                0.41209,                 1.3336,                 1.1707,                 1.3593,               0.005545,               0.005545,               0.005545
                     20,                 1.3825,                 1.2032,                 1.3368,                 0.7423,                 0.6501,                0.73229,                0.47193,                 1.2754,                 1.0181,                 1.3082,              0.0052975,              0.0052975,              0.0052975
                     21,                 1.3663,                 1.1866,                 1.3335,                0.78163,                0.64998,                0.75129,                0.49304,                 1.2482,                0.97938,                 1.2916,                0.00505,                0.00505,                0.00505
                     22,                 1.3689,                 1.1751,                 1.3129,                0.77873,                 0.6434,                0.73626,                0.48402,                 1.2449,                0.99883,                 1.2959,              0.0048025,              0.0048025,              0.0048025
                     23,                 1.3311,                 1.1201,                 1.3036,                0.78316,                0.61733,                0.73409,                0.47844,                 1.2525,                 1.0077,                 1.2973,               0.004555,               0.004555,               0.004555
                     24,                 1.3292,                  1.147,                 1.3022,                0.73863,                0.67221,                 0.7438,                0.48604,                 1.2268,                0.97155,                 1.2649,              0.0043075,              0.0043075,              0.0043075
                     25,                 1.2977,                 1.0827,                 1.2845,                0.76914,                 0.6732,                0.75716,                0.49831,                 1.2137,                0.95677,                 1.2743,                0.00406,                0.00406,                0.00406
                     26,                 1.2822,                 1.0566,                 1.2757,                0.79502,                0.68509,                0.77025,                0.50989,                 1.1972,                0.88269,                 1.2747,              0.0038125,              0.0038125,              0.0038125
                     27,                  1.298,                 1.0713,                 1.2821,                0.79977,                0.70559,                0.79441,                0.52979,                 1.1878,                0.88675,                  1.249,               0.003565,               0.003565,               0.003565
                     28,                 1.2803,                 1.0521,                 1.2729,                0.81334,                0.69031,                0.79089,                0.53108,                 1.1891,                0.89536,                 1.2433,              0.0033175,              0.0033175,              0.0033175
                     29,                 1.2734,                 1.0411,                 1.2622,                0.84382,                0.72114,                0.83007,                0.57302,                 1.1345,                 0.8143,                 1.2089,                0.00307,                0.00307,                0.00307
                     30,                 1.1888,                0.92012,                 1.2625,                0.82156,                0.73794,                0.83144,                0.57342,                 1.1456,                0.83513,                 1.2222,              0.0028225,              0.0028225,              0.0028225
                     31,                 1.1725,                0.88113,                 1.2601,                0.84714,                0.73137,                0.84243,                0.59293,                 1.1177,                0.79643,                  1.204,               0.002575,               0.002575,               0.002575
                     32,                 1.1489,                0.85955,                  1.248,                0.83342,                0.74247,                0.84528,                0.59924,                 1.0985,                0.78377,                 1.1833,              0.0023275,              0.0023275,              0.0023275
                     33,                 1.1377,                 0.8248,                 1.2257,                0.80513,                0.74668,                0.83099,                0.59744,                 1.0908,                0.76488,                 1.1787,                0.00208,                0.00208,                0.00208
                     34,                 1.1177,                0.80494,                 1.2258,                0.87772,                0.79274,                0.88713,                0.65016,                 1.0612,                0.70629,                 1.1642,              0.0018325,              0.0018325,              0.0018325
                     35,                 1.0917,                0.76816,                 1.2045,                 0.8817,                0.79018,                0.89197,                0.65961,                 1.0441,                0.68579,                 1.1476,               0.001585,               0.001585,               0.001585
                     36,                 1.0761,                0.75738,                 1.2075,                0.88832,                0.79351,                0.89844,                0.66711,                 1.0262,                0.65969,                 1.1337,              0.0013375,              0.0013375,              0.0013375
                     37,                 1.0615,                0.72607,                 1.1801,                0.89608,                0.80699,                0.90786,                0.67893,                 1.0175,                0.64239,                 1.1272,                0.00109,                0.00109,                0.00109
                     38,                 1.0641,                0.71456,                 1.1795,                0.90325,                0.81679,                0.91032,                0.68712,                 1.0075,                0.62825,                 1.1164,              0.0008425,              0.0008425,              0.0008425
                     39,                 1.0344,                0.69264,                 1.1556,                0.89806,                0.82512,                0.91322,                0.69231,                0.98921,                0.61356,                 1.1022,               0.000595,               0.000595,               0.000595
